"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","376","TC-LOG-002: User can generate auth token - user exists in DB","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.LoginUserTest$PositiveTests","userCanGenerateAuthTokenTest"
"","3701","TC-DEP-001: User can deposit valid amounts - DB verification [2] amount=100.0","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.DepositTest$PositiveTests","userCanDepositValidAmountsTest"
"","16","TC-PROF-007: Cannot get profile without authentication","","2026-07-16","passed","2026-07-16","","Security & Authorization Tests","iteration1.api.ProfileTest$SecurityTests","userCannotGetProfileWithoutAuthTest"
"","489","TC-PROF-002: User can get own profile - data matches database","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.ProfileTest$PositiveTests","userCanGetOwnProfileTest"
"","382","TC-006: Admin can delete user - user cannot login after deletion","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.CreateUserTest$PositiveTests","adminCanDeleteUserTest"
"","0","Concurrent transfers from same account should be atomic","","2026-07-16","skipped","2026-07-16","","Конкурентность и состояния гонки","iteration1.api.TransferWithFraudCheckTest$ConcurrencyTests","concurrentTransfers_atomicityGuaranteed"
"","542","TC-PROF-004: Invalid name changes are rejected - DB unchanged [5] oldName=Valid Name, invalidName=","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation with DB Verification","iteration1.api.ProfileTest$NegativeTests","userCannotChangeNameWithInvalidDataTest"
"","11","TC-PROF-008: Cannot get profile with invalid token","","2026-07-16","passed","2026-07-16","","Security & Authorization Tests","iteration1.api.ProfileTest$SecurityTests","userCannotGetProfileWithInvalidTokenTest"
"","227","TC-001: Admin can create user with valid data [3] username=qqlrw-huflh, password=2dcn!eN5!c, role=USER","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.CreateUserTest$PositiveTests","adminCanCreateUserWithCorrectData"
"","571","TC-PROF-001: User can change name - API and DB consistency [5] oldName=Maria Lopez, newName=Maria Garcia","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.ProfileTest$PositiveTests","userCanChangeNameWithValidDataTest"
"","265","TC-LOG-004: Cannot login with non-existent username","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Authentication","iteration1.api.LoginUserTest$NegativeTests","userCannotLoginWithNonExistentUsernameTest"
"","583","TC-PROF-004: Invalid name changes are rejected - DB unchanged [7] oldName=Valid Name, invalidName=  ","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation with DB Verification","iteration1.api.ProfileTest$NegativeTests","userCannotChangeNameWithInvalidDataTest"
"","2225","TC-TRF-001: User can transfer between own accounts - DB verification [1] depositAmount=1000.0, transferAmount=300.0","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.TransferTest$PositiveTests","userCanTransferValidAmountsTest"
"","123","TC-LOG-001: Admin can generate auth token - user exists in DB","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.LoginUserTest$PositiveTests","adminCanGenerateAuthTokenTest"
"","4603","User cannot transfer from another user's account","","2026-07-16","passed","2026-07-16","","Безопасность и авторизация","iteration1.api.TransferWithFraudCheckTest$SecurityTests","userCannotTransferFromAnotherAccount_forbidden"
"","1628","TC-TRF-004: Invalid transfer amounts are rejected - DB unchanged [3] amount=10001.0, expectedStatusCode=400","","2026-07-16","passed","2026-07-16","","Negative Scenarios - Validation with DB Verification","iteration1.api.TransferTest$NegativeTests","userCannotTransferInvalidAmountsTest"
"","4809","Transfer without authentication returns 401","","2026-07-16","passed","2026-07-16","","Безопасность и авторизация","iteration1.api.TransferWithFraudCheckTest$SecurityTests","transferWithoutAuth_returns401"
"","3713","TC-TRF-002: User can transfer to another user - DB verification [1] depositAmount=1000.0, transferAmount=400.0","","2026-07-16","passed","2026-07-16","","Positive Scenarios with Database Verification","iteration1.api.TransferTest$PositiveTests","userCanTransferToAnotherUserTest"
"","193","TC-001: Admin can create user with valid data [4] username=zqdol_afczy, password=P83kpeje#e, role=USER","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.CreateUserTest$PositiveTests","adminCanCreateUserWithCorrectData"
"","3390","Negative amount transfer is rejected","","2026-07-16","passed","2026-07-16","","Пограничные случаи и валидация входных данных","iteration1.api.TransferWithFraudCheckTest$EdgeCasesTests","negativeAmount_rejected"
"","3565","TC-DEP-001: User can deposit valid amounts - DB verification [4] amount=1000.0","","2026-07-16","passed","2026-07-16","","Positive Scenarios","iteration1.api.DepositTest$PositiveTests","userCanDepositValidAmountsTest"
